Longitude,Latitude,Magnitude
-121.07083,36.08,2.5
-120.75716,35.63433,2.6
-121.0085,36.37967,2.7
-121.01667,36.3955,2.7
-121.17216,36.5435,2.6
-120.58783,35.4015,2.6
-121.09367,36.15567,2.7
-121.109,35.4195,2.7
-121.01167,35.48417,2.9
-122.4295,37.65333,2.5
-120.9865,36.4005,3
-120.99983,36.39767,2.9
-120.9905,36.40117,2.6
-121.16033,36.53867,3.3
-121.145,36.51083,3.6
-121.15567,36.53717,2.5
-121.24966,36.64533,3
-121.46384,36.96717,2.5
-121.54483,37.15267,3
-121.47767,36.98217,2.8
-121.578,37.17833,3.8
-121.54467,36.83433,3
-121.6645,37.2755,2.63
-121.61234,36.87117,2.56
-121.42316,36.926,2.74
-121.677,37.0105,2.59
-121.6615,37.30883,3
-121.541,37.136,2.58
-121.52834,37.13183,2.58
-121.74067,37.03783,4.3
-121.6165,36.92484,2.5
-121.751,37.40133,2.82
-121.50517,37.11583,2.56
-121.41467,36.87917,2.62
-121.55317,37.1405,2.55
-122.21367,37.34483,2.69
-121.724,37.36033,2.6
-122.58167,37.69533,2.5
-121.9235,37.067,2.91
-121.76234,37.0345,2.68
-121.66734,37.28983,2.51
-121.70067,37.33367,2.5
-122.11617,37.729,3.2
-121.74834,37.03833,2.5
-121.4845,36.77017,2.6
-122.48267,37.64017,2.5
-121.631,37.35767,3
-121.82433,37.41333,3.42
-121.8105,37.4225,3.14
-121.6355,37.2475,2.55
-121.367,36.72533,2.64
-123.20567,38.17216,4.2
-121.50367,37.08583,2.58
-121.69683,37.33933,2.55
-121.8065,37.42417,2.6
-121.40383,36.76833,2.59
-121.57933,36.855,2.55
-121.54117,36.81417,3.5
-121.53683,36.82183,2.63
-121.54,36.82417,2.9
-121.58083,37.16583,2.65
-121.361,36.80684,2.73
-121.37317,36.76617,2.62
-121.2875,36.65933,2.9
-121.83583,37.43217,2.63
-121.66817,37.29133,2.58
-121.64034,36.98783,2.73
-121.614,37.22467,2.57
-121.758,37.4095,3.2
-121.759,37.4085,2.59
-121.63683,37.255,2.78
-121.87733,36.49667,3.23
-121.73466,37.0375,2.6
-121.43383,36.89,2.52
-121.4445,36.87117,2.52
-121.7355,37.37067,2.93
-121.674,36.9995,2.67
-122.23016,37.415,2.85
-121.701,37.018,3.14
-122.26466,37.2895,2.79
-121.45216,36.86133,2.81
-121.42767,36.973,2.58
-121.44,36.9405,2.75
-121.9525,37.2685,2.64
-121.58733,36.90917,2.8
-121.824,37.07167,2.62
-121.69234,37.49283,3.26
-121.59683,36.86,2.7
-121.34483,36.89567,2.94
-121.609,36.92733,2.57
-121.68217,37.29333,2.51
-121.39,36.80733,2.74
-121.733,37.0215,2.95
-121.53467,36.82583,2.54
-121.86733,37.48833,2.57
-121.52766,36.915,2.79
-121.571,37.11733,2.64
-121.57917,36.95984,2.66
-121.70284,37.335,2.63
-121.559,37.16183,3.9
-121.56017,37.16417,3
-121.68684,36.9445,2.62
-121.66016,37.2865,2.75
-121.46,37.01534,2.9
-120.31216,35.5975,2.97
-120.59717,36.06267,2.87
-120.94167,36.44083,3.24
-121.6525,36.99033,2.87
-121.304,36.91717,3.71
-122.25967,37.857,2.95
-120.53717,35.99567,3.8
-121.588,36.96267,2.53
-121.20483,37.18833,2.56
-122.162,36.71433,2.71
-121.04066,36.597,3.13
-121.27317,36.653,3.26
-121.52866,36.8105,2.83
-120.38116,35.848,2.76
-121.91617,37.845,2.65
-121.4755,36.74883,2.73
-121.21633,36.62683,2.9
-121.30016,35.81683,3.04
-121.97083,37.15217,2.58
-121.62566,36.98383,3.23
-120.73583,35.92317,3
-121.60117,36.86767,3.41
-121.11467,36.5405,2.82
-121.2205,37.026,3.24
-121.016,36.55533,2.9
-121.40816,36.83367,3.02
-121.56667,36.848,3.63
-121.5755,36.84883,3.15
-121.56433,36.84583,2.71
-121.7265,37.938,3.75
-121.02717,36.597,3.29
-121.61916,36.98067,2.76
-121.9005,37.50117,2.68
-121.74966,37.92433,2.53
-121.43784,36.86133,2.79
-121.72933,37.0505,2.56
-121.52583,36.81367,2.81
-121.73867,37.0505,2.69
-121.4525,36.96617,2.88
-121.72733,37.04433,2.55
-121.5915,36.96417,3.68
-121.60433,36.96817,2.59
-121.4405,36.75867,3.22
-121.43266,36.76717,3.32
-121.9475,37.86717,2.82
-121.41866,36.89817,2.86
-120.95016,36.782,2.97
-121.79166,37.4455,2.65
-120.9975,36.78767,3.35
-120.427,35.878,2.6
-121.665,37.27717,2.65
-121.58633,36.84233,3.28
-121.52666,37.13383,2.62
-121.11467,36.5465,2.79
-121.8025,38.0715,3.5
-121.786,37.45383,2.54
-120.96033,36.4945,2.64
-121.60367,36.871,2.83
-122.05466,37.6585,2.67
-121.54617,37.10817,2.62
-122.14233,38.19067,2.7
-121.605,36.97467,3.14
-121.552,37.16067,2.73
-121.17133,36.58417,2.65
-121.30733,36.86517,2.68
-121.45383,36.75667,3.2
-121.58833,36.9635,2.51
-121.66084,36.99917,2.78
-121.10667,36.5785,3.62
-121.31267,36.68333,3
-122.05317,37.09033,2.59
-121.37133,36.69183,3.19
-121.77467,37.2365,3.45
-121.67416,37.52333,2.83
-121.675,36.91717,2.9
-122.226,37.874,3
-121.33417,36.69733,3.08
-121.33916,36.91516,2.64
-121.28217,36.68433,3.4
-121.72933,37.36017,2.69
-121.73517,37.366,3.3
-121.73016,37.36483,2.55
-121.65567,36.9955,2.86
